#Limiti di energia lasciata in Si1 per identificazione in Z e A per PSA Imax-E in Si1
#blocco qua tel Z ESi1minZid ESi1maxZid ESi1minAid ESi1maxAid
2 1 3 37 843.0 1515.0 -1  -1 
2 2 1 2 7.0 33.0 -1  -1 
2 2 1 3 11.0 70.0 -1  -1 
2 2 1 4 17.0 87.0 17.0 87.0
2 2 1 5 25.0 124.0 55.0 120.0
2 2 1 6 33.0 165.0 71.0 160.0
2 2 1 7 40.0 205.0 96.0 193.0
2 2 1 8 51.0 243.0 120.0 243.0
2 2 1 9 60.0 284.0 156.0 284.0
2 2 1 10 74.0 333.0 184.0 333.0
2 2 1 11 85.0 381.0 216.0 381.0
2 2 1 12 97.0 423.0 262.0 423.0
2 2 1 13 116.0 480.0 306.0 480.0
2 2 1 14 128.0 538.0 357.0 536.0
2 2 1 15 152.0 598.0 414.0 591.0
2 2 1 16 175.0 657.0 465.0 647.0
2 2 1 17 192.0 712.0 526.0 712.0
2 2 1 18 234.0 774.0 579.0 774.0
2 2 1 19 254.0 848.0 628.0 836.0
2 2 1 20 278.0 901.0 678.0 901.0
